recv_ts,client_ip,client_ts,cpu_pct,mem_pct,proc_count,net_bps,anomaly_score,is_anomaly
2026-08-16 14:00:38,127.0.0.1,2026-08-16 14:00:38,0.3,7.58,42,0,-1,True
2026-08-16 14:00:48,127.0.0.1,2026-08-16 14:00:48,3.35,7.55,36,4085,-1,True
2026-08-16 14:01:18,127.0.0.1,2026-08-16 14:01:18,16.75,7.58,39,138,-1,True
